Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернет,Контактный телефон,Адрес,Долгота,Широта
Радиомузей Валерия Громова. Средства связи двух мировых войн,Музеи,None,None,None,None,None,None,None,http://rkk-museum.ru/,8 (495) 744-10-70,Сущевская ул.+++ д. 9+++ стр. 4,55.7804972,37.6011778
"Ретро-музей ""Дамское счастье""",Необычные музеи,None,None,None,None,None,None,None,None,None,Проспект Мира вл.119С2 (ВДНХ+++ павильон №2),55.8282,37.6313722
Российский музей леса,Музеи,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,10.00-18.00,10.00-18.00,10.00-18.00,http://museum.forest.ru/,8 (495) 959-15-17,5-ый Монетчиковский пер.+++ д. 4,55.7327861,37.633625
Российский национальный музей музыки,Музеи,None,11.00-19.00,11.00-19.00,12.00-21.00,12.00-21.00,11.00-19.00,11.00-18.00,http://www.glinka.museum/,8 (495) 739-39-87+++ 8  (495) 739-62-26,Фадеева ул.+++ д. 4,55.7744861,37.5997278
Русский национальный музей,Музеи,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,None,http://www.rnm.ru/,8 (495) 628-25-93,Пушечная ул.+++ д. 2/6,55.7607194,37.6217861
Старый Английский двор,Музеи,None,10.00-18.00,10.00-18.00,11.00-21.00,10.00-18.00,10.00-18.00,None,http://www.mosmuseum.ru/,8 (495) 637-77-74,Варварка+++ 4а+++,55.7523389,37.6269444
Творческая мастерская театрального художника Боровского,Музеи,None,None,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,http://www.gctm.ru/,8 (495) 691-40-19,Большой Афанасьевский пер.+++ д. 3+++ стр. 4-6,55.7451472,37.5969889
Театр Зверей им. В.Л.Дурова,Цирки+++ зоопарки+++ океанариумы,None,None,None,None,None,None,None,http://www.ugolokdurova.ru,8 (495) 631-30-47 (касса)+++ 8 (495) 631-44-63,Дурова ул.+++ д. 4,55.7794639,37.6209361
Театр кошек Куклачёва,Цирки+++ зоопарки+++ океанариумы,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,http://www.kuklachev.ru/,8 (499) 249-29-07+++ 8 (499) 243-40-05,Кутузовский пр-т+++ д. 25,55.7439889,37.547
Театральная галерея на Малой Ордынке,Музеи,None,None,12.00-19.00,13.00-21.00,12.00-19.00,12.00-19.00,12.00-19.00,http://www.gctm.ru/,8 (495) 953-12-45+++ 8 (495) 951-11-40,Малая Ордынка+++ д. 9,55.7388,37.6263194
Театральный  музей им. А.А. Бахрушина,Музеи,None,12.00-19.00,12.00-19.00,13.00-21.00,12.00-19.00,12.00-19.00,None,http://www.gctm.ru/,8 (495) 953-44-70+++ 8 (495) 953-48-48,Бахрушина ул.+++ 31/12,55.7319083,37.6379111
Толстовский центр,Музеи,None,10.00-18.00,10.00-18.00,12.00-20.00,10.00-18.00,10.00-18.00,10.00-18.00,http://tolstoymuseum.ru/,8 (495) 951-64-40,Пятницкая ул. д. 12,55.7434167,37.6279528
Траурный поезд Ленина,Музеи,None,None,10.00-19.0,10.00-19.0,10.00-19.0,10.00-19.0,10.00-17.45,http://mzd.rzd.ru/static/public/ru?STRUCTURE_ID=4198,8 (499) 623-39-78,Кожевническая ул. д.2.,55.7297222,37.6432806
Художественный центр на Саввинской,Выставочные центры,None,None,None,None,None,None,None,None,None,Саввинская наб.+++ 23+++ стр. 1,55.7316556,37.5596389
Центр Гиляровского,Выставочные центры,None,None,None,None,None,None,None,http://mosmuseum.ru/association/gilyarovskogo/,None,Столешников пер.+++ д. 9+++ стр. 5,55.7634722,37.6153694
"""Древо сказок"" в Московском зоопарке",Памятники,None,None,None,None,None,None,None,None,None,Большая Грудинская д.1. Московский зоопарк,55.7629583,37.5782194
"""Катюши"" в Измайловском ПКиО",Памятники,None,None,None,None,None,None,None,None,None,Московский проспект+++ д.1,55.772325,37.7530139
"""Молодежь в науке и в труде""",Памятники,None,None,None,None,None,None,None,None,None,Ленинские горы+++ 1,55.7024444,37.529775
Cтатуя Будды,Памятники,None,None,None,None,None,None,None,None,None,Щепкина ул.+++ 24+++ стр. 1,55.7776,37.6292139
"Аллея памяти генеральных конструкторов концерна ""Алмаз-Антей""",Памятники,None,None,None,None,None,None,None,None,None,Верейская ул. д. 41,55.7126111,37.4305139
Аллея спортивной славы ЦСКА,Памятники,None,None,None,None,None,None,None,None,None,Ленинградский просп.+++ д.39+++ стр. 29,55.7927528,37.5381361
Аллея ученых МГУ,Памятники,None,None,None,None,None,None,None,None,None,Ленинские горы+++ д.1,55.7054472,37.5344583
Барельеф героям Отечественной войны 1812 года на Воробьевской набережной,Памятники,None,None,None,None,None,None,None,None,None,Воробьевская набережная,55.7093667,37.5543806
Беседка-ротонда Петра I в Лефортово,Памятники,None,None,None,None,None,None,None,None,None,Красноказарменная ул.+++ д.2,55.7644306,37.6898
Боевая машина десанта в Парке Победы,Памятники,None,None,None,None,None,None,None,None,None,Кутузовский просп.+++ д.21,55.7317861,37.4950944
Борисов камень в Коломенском,Памятники,None,None,None,None,None,None,None,None,None,Проспект Андропова+++ д.39,55.6687278,37.6654667
Броневик и пушка во в дворе Музея современной истории,Памятники,None,None,None,None,None,None,None,None,None,Тверская ул.+++ д.21,55.76635,37.601525
Бюст Бржозовского,Памятники,None,None,None,None,None,None,None,None,None,пл. Рижского вокзала+++ д. 1,55.7924056,37.6329167
Бюст В. А. Жуковского в Лялином переулке,Памятники,None,None,None,None,None,None,None,None,None,Лялин пер.+++ д. 28/19,55.7565194,37.6534389
Бюст Зыкова,Памятники,None,None,None,None,None,None,None,None,None,Врубеля ул.+++ д. 6,55.8056139,37.5001056
"Бюст Калинину в переходе станции метро ""Александровский сад""",Памятники,None,None,None,None,None,None,None,None,None,Воздвиженка ул.,55.7522583,37.608775
Бюст маршала Василевского,Памятники,None,None,None,None,None,None,None,None,None,ул. Маршала Ваилевского+++ д.15,55.80775,37.4651833
Верстовой столб Смоленской дороги,Памятники,None,None,None,None,None,None,None,None,None,Кутузовский проспект+++ д.36С2,55.7395972,37.5228528
Верстовой столб у Рогожской заставы,Памятники,None,None,None,None,None,None,None,None,None,Бульвар Энтузиастов+++ д.1,55.7471667,37.6823972
Вечный огонь в Парке Победы,Памятники,None,None,None,None,None,None,None,None,None,Парк Победы,55.7313806,37.5062611
Военная техника во дворе Центрального музея Вооруженных Сил,Памятники,None,None,10.00-17.00,10.00-17.00,10.00-17.00,11.00-19.00,11.00-19.00,None,None,Ул. Советской Армии+++ д.2,55.7846333,37.6178333
Военная техника перед входом в Центральный музей Вооруженных Сил,Памятники,None,None,10.00-17.00,10.00-17.00,10.00-17.00,11.00-19.00,11.00-19.00,None,None,Ул. Советской Армии+++ д. 2,55.7851028,37.6166306
Ворота Воспитательного дома,Памятники,None,None,None,None,None,None,None,None,None,Солянка ул.+++ д.14,55.7521056,37.6402694
Воссоединение,Памятники,None,None,None,None,None,None,None,None,None,Волхонка ул. д. 15,55.7443444,37.6069583
ГАЗ-АА,Памятники,None,None,None,None,None,None,None,None,None,Ленинградский пр.+++ 64с11,55.8020667,37.5293667
"Голова от монумента ""Родина-Мать зовет!""",Памятники,None,None,None,None,None,None,None,None,None,Тимирязевская ул.+++ 33 стр. 4,55.8164694,37.5612639
"Горельеф ""Знаменосцу мира - советскому народу слава!"" на ВДНХ",Памятники,None,None,None,None,None,None,None,None,None,ВДНХ+++ павильон №1,55.8286083,37.6338417
Горельефы Храма Христа Спасителя в Донском монастыре,Памятники,None,None,None,None,None,None,None,None,None,Донская пл.+++ д.1,55.7151361,37.6039806
"Грот ""Руины""",Памятники,None,None,None,None,None,None,None,None,None,Александровский сад,55.7537167,37.615475
ДОТ на Профсоюзной улице,Памятники,None,None,None,None,None,None,None,None,None,Профсоюзная ул.+++ д.19,55.6782917,37.5649194
ДОТ на улице Обручева,Памятники,None,None,None,None,None,None,None,None,None,Обручева ул.+++ д.32,55.6568778,37.5334528
Закладной камень и памятный знак у входа в Мемориальный парк на Новопесчаной улице,Памятники,None,None,None,None,None,None,None,None,None,Новопесчаная ул.+++ д.12,55.8016694,37.5131917
"Закладной камень на месте будущей скульптуры ""Астана""",Памятники,None,None,None,None,None,None,None,None,None,Ленинградское шоссе. Парк Дружбы,55.8505861,37.4746639
"Знак ""Нулевой километр России""",Памятники,None,None,None,None,None,None,None,None,None,Манежная площадь,55.7558222,37.6177222
Информационная стела к 120-летию К. Рокоссовского,Памятники,None,None,None,None,None,None,None,None,None,Бульвар Маршала Рокоссовского+++ между домами 11 и 12,55.8117667,37.7249056
Камень в память жертв большевистского террора на территории Яузской больницы,Памятники,None,None,None,None,None,None,None,None,None,Яузская ул.+++ д.11 кор.1,55.74725,37.6485528
Камень в память о революционной борьбе московских рабочих,Памятники,None,None,None,None,None,None,None,None,None,Тверской бульвар+++ д.26,55.7632694,37.6037611
Камень в память о Страстном монастыре,Памятники,None,None,None,None,None,None,None,None,None,Пушкинская площадь,55.765675,37.6056472
Камень на аллее имени Алисы Селезневой,Памятники,None,None,None,None,None,None,None,None,None,Флотская ул.+++ д.3,55.853725,37.4847944
"Колонны на аллее ""Годы войны""",Памятники,None,None,None,None,None,None,None,None,None,"Парк Победы. Аллея ""Годы войны""",55.7333639,37.5123139
"Композиция ""Моя семья""",Памятники,None,None,None,None,None,None,None,None,None,Удальцова ул.+++ д.65,55.6813722,37.5036556
Кони Клодта на Беговой аллее,Памятники,None,None,None,None,None,None,None,None,None,Беговая аллея+++ д.27,55.7844278,37.5661722
Крест в память о великом князе Сергее Александровиче в Кремле,Памятники,None,None,None,None,None,None,None,None,None,Кремль+++ вблизи Никольской башни,55.7541972,37.6176917
Лобное место,Памятники,None,None,None,None,None,None,None,None,None,Красная пл.+++ д.5,55.7532306,37.6225833
"Мемориал ""Примирение народов""",Памятники,None,None,None,None,None,None,None,None,None,Ленинградский просп.+++ 73,55.8040778,37.5137667
"Мемориал ""Сад памяти""",Памятники,None,None,None,None,None,None,None,None,None,Бутово+++ Юбилейная ул.,55.5330417,37.5959528
"Мемориал ""Стена памяти"" на полигоне ""Коммунарка""",Памятники,None,None,None,None,None,None,None,None,None,Москва+++ поселение Сосенское,55.5783389,37.4552778
Мемориал Героям России,Памятники,None,None,None,None,None,None,None,None,None,Ленинский проспект+++ д.30,55.7119278,37.5848472
Мемориал Героям-панфиловцам на разъезде Дубосеково,Памятники,None,None,None,None,None,None,None,None,None,Московская обл.+++  ж/д платформа Дубосеково (7 км. от Волоколамска),55.9789861,36.0421944
Мемориал Победы в Кузьминках,Памятники,None,None,None,None,None,None,None,None,None,ул. Юных Ленинцев+++ д 82,55.6981111,37.776875
Мемориал Победы на Поклонной горе,Памятники,None,None,None,None,None,None,None,None,None,Площадь Победы+++ д.3,55.7316889,37.5069806
"Мемориальная доска ""Священная война"" на Белорусском вокзале",Памятники,None,None,None,None,None,None,None,None,None,Площадь Тверской заставы+++ д.7. Белорусский вокзал,55.776525,37.5815889
"Мемориальная плита ""Героям Брусиловского прорыва""",Памятники,None,None,None,None,None,None,None,None,None,Сквер между ул. Алабяна и Малым Песчаным пер.+++ позади д. № 77+++ к.1,55.8040222,37.5076806
